SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
5022,0,750,5335,1,749,4863,1,10,5094,1,749
5403,1,749,4747,1,2,5604,1,11,4715,0,750
5113,0,750,5264,1,1,5937,1,12,5619,1,749
4497,0,750,4288,0,750,3639,0,750,4870,0,750
4789,0,0,5203,1,1,4218,1,747,6087,0,0
5420,1,749,4891,0,750,7297,1,11,4656,0,750
6863,1,749,4742,0,750,4710,0,750,6427,1,749
7503,0,0,4760,0,750,6328,1,19,6100,0,750
5162,0,750,4787,1,749,5784,1,9,5844,1,749
4617,0,0,5264,0,750,5073,0,750,4868,0,750
5287,0,750,4536,1,1,5467,1,749,6206,1,748
5224,0,750,4501,1,748,5434,0,750,4508,1,747
5240,1,1,4600,1,1,4772,0,750,4758,0,750
5725,1,1,6000,1,1,5220,1,747,7452,0,750
4542,0,750,4345,1,746,5116,1,12,5681,0,750
10000,2,738,5512,0,0,5599,1,11,5609,1,749
7112,1,1,5037,1,1,5650,1,16,7050,0,750
5148,1,748,4233,1,749,5718,1,749,7947,0,750
5085,0,750,4710,0,0,6345,1,10,4451,1,749
4648,1,748,5074,0,750,5490,1,20,7798,0,0
5750,1,749,4984,1,749,4086,0,750,5598,0,750
4391,1,3,4434,0,750,5047,1,748,5484,1,749
5476,0,0,5056,1,3,5654,1,8,6478,1,2
5283,1,3,4229,0,750,4805,0,750,3801,0,750
4914,0,750,3645,0,0,4790,0,750,4976,1,749
