ER_time,ER_timeType,ER_opinion1,ER_opinion2,PA_time,PA_timeType,PA_opinion1,PA_opinion2,L2_time,L2_timeType,L2_opinion1,L2_opinion2
10000,2,148,306,10000,2,82,446,10000,2,141,165
10000,2,283,216,10000,2,270,246,10000,2,147,220
10000,2,270,251,10000,2,309,103,10000,2,313,169
10000,2,206,347,10000,2,237,435,10000,2,151,312
10000,2,141,205,10000,2,260,266,10000,2,226,226
10000,2,264,224,10000,2,335,219,10000,2,211,262
10000,2,289,224,10000,2,76,471,10000,2,313,209
10000,2,362,189,10000,2,305,321,10000,2,180,182
10000,2,202,327,10000,2,310,328,10000,2,259,280
10000,2,225,286,10000,2,266,197,10000,2,353,108
10000,2,343,140,10000,2,171,331,10000,2,278,187
10000,2,231,227,10000,2,127,287,10000,2,257,223
10000,2,401,177,10000,2,291,292,10000,2,349,286
10000,2,107,418,10000,2,221,400,10000,2,161,296
10000,2,389,127,10000,2,189,374,10000,2,180,173
10000,2,168,195,10000,2,320,251,10000,2,250,221
10000,2,359,259,10000,2,232,129,10000,2,205,213
10000,2,288,183,10000,2,211,253,10000,2,276,314
10000,2,250,192,10000,2,325,258,10000,2,276,253
10000,2,206,383,10000,2,233,318,10000,2,255,260
10000,2,152,190,10000,2,375,237,10000,2,227,214
10000,2,184,398,10000,2,388,244,10000,2,288,151
10000,2,77,468,10000,2,232,250,10000,2,227,316
10000,2,353,124,10000,2,206,130,10000,2,167,315
10000,2,312,287,10000,2,353,227,10000,2,268,248
